Dim1	Dim2	Coupe	Value
76	36	1	2.000000
76	37	1	2.000000
76	38	1	2.000000
76	39	1	2.000000
76	40	1	2.000000
76	41	1	2.000000
76	42	1	2.000000
76	43	1	2.000000
76	44	1	2.000000
76	45	1	1.000000
76	46	1	1.000000
76	47	1	1.000000
76	50	1	1.000000
76	51	1	1.000000
77	31	1	1.000000
77	32	1	1.000000
77	33	1	2.000000
77	34	1	2.000000
77	35	1	2.000000
77	36	1	2.000000
77	37	1	2.000000
77	38	1	2.000000
77	39	1	2.000000
77	40	1	2.000000
77	41	1	2.000000
77	42	1	2.000000
77	43	1	2.000000
77	44	1	1.000000
77	45	1	1.000000
77	46	1	1.000000
77	47	1	1.000000
77	48	1	2.000000
77	49	1	1.000000
77	51	1	1.000000
78	30	1	1.000000
78	31	1	1.000000
78	32	1	1.000000
78	33	1	1.000000
78	34	1	2.000000
78	35	1	2.000000
78	36	1	2.000000
78	37	1	2.000000
78	38	1	2.000000
78	39	1	2.000000
78	40	1	2.000000
78	41	1	2.000000
78	42	1	2.000000
78	43	1	2.000000
78	44	1	1.000000
78	45	1	1.000000
78	46	1	1.000000
78	47	1	1.000000
78	48	1	2.000000
78	49	1	1.000000
79	30	1	1.000000
79	31	1	1.000000
79	32	1	1.000000
79	33	1	1.000000
79	34	1	2.000000
79	35	1	2.000000
79	36	1	2.000000
79	37	1	2.000000
79	38	1	2.000000
79	39	1	2.000000
79	40	1	2.000000
79	41	1	2.000000
79	42	1	2.000000
79	43	1	2.000000
79	44	1	1.000000
79	45	1	1.000000
79	46	1	1.000000
79	47	1	1.000000
79	48	1	1.000000
79	49	1	1.000000
79	50	1	1.000000
80	30	1	2.000000
80	31	1	1.000000
80	32	1	1.000000
80	33	1	1.000000
80	34	1	1.000000
80	35	1	2.000000
80	36	1	1.000000
80	37	1	2.000000
80	38	1	2.000000
80	39	1	2.000000
80	40	1	2.000000
80	41	1	2.000000
80	42	1	2.000000
80	43	1	2.000000
80	44	1	1.000000
80	45	1	1.000000
80	46	1	1.000000
80	47	1	1.000000
80	48	1	1.000000
80	49	1	1.000000
80	50	1	1.000000
81	31	1	2.000000
81	32	1	1.000000
81	33	1	1.000000
81	34	1	1.000000
81	35	1	1.000000
81	36	1	2.000000
81	37	1	1.000000
81	38	1	2.000000
81	39	1	2.000000
81	40	1	2.000000
81	41	1	2.000000
81	42	1	2.000000
81	43	1	2.000000
81	44	1	1.000000
81	45	1	1.000000
81	46	1	1.000000
81	47	1	1.000000
81	48	1	1.000000
82	31	1	1.000000
82	32	1	1.000000
82	33	1	1.000000
82	34	1	1.000000
82	35	1	2.000000
82	36	1	2.000000
82	37	1	2.000000
82	38	1	1.000000
82	39	1	2.000000
82	40	1	2.000000
82	41	1	2.000000
82	42	1	1.000000
82	43	1	2.000000
82	44	1	1.000000
82	45	1	1.000000
82	46	1	1.000000
82	47	1	2.000000
82	48	1	1.000000
82	50	1	1.000000
83	31	1	1.000000
83	32	1	1.000000
83	33	1	1.000000
83	34	1	1.000000
83	35	1	1.000000
83	36	1	1.000000
83	37	1	2.000000
83	38	1	2.000000
83	39	1	1.000000
83	40	1	2.000000
83	41	1	2.000000
83	42	1	2.000000
83	43	1	1.000000
83	44	1	1.000000
83	45	1	1.000000
83	46	1	1.000000
83	47	1	2.000000
83	48	1	1.000000
83	49	1	1.000000
84	31	1	2.000000
84	32	1	1.000000
84	33	1	1.000000
84	35	1	1.000000
84	36	1	1.000000
84	37	1	1.000000
84	38	1	2.000000
84	39	1	2.000000
84	40	1	1.000000
84	41	1	1.000000
84	42	1	1.000000
84	43	1	1.000000
84	44	1	1.000000
84	45	1	1.000000
84	46	1	2.000000
84	47	1	2.000000
84	48	1	2.000000
84	49	1	2.000000
85	32	1	1.000000
85	33	1	1.000000
85	34	1	1.000000
85	35	1	1.000000
85	36	1	1.000000
85	37	1	1.000000
85	38	1	1.000000
85	39	1	1.000000
85	40	1	1.000000
85	41	1	1.000000
85	42	1	1.000000
85	44	1	1.000000
85	45	1	1.000000
85	46	1	2.000000
85	47	1	2.000000
85	49	1	2.000000
86	33	1	2.000000
86	34	1	2.000000
86	35	1	1.000000
86	36	1	1.000000
86	37	1	1.000000
86	38	1	1.000000
86	39	1	1.000000
86	40	1	1.000000
86	41	1	1.000000
86	42	1	1.000000
86	44	1	1.000000
86	45	1	2.000000
87	34	1	2.000000
87	35	1	2.000000
87	36	1	1.000000
87	37	1	1.000000
87	38	1	1.000000
87	39	1	1.000000
87	41	1	1.000000
87	42	1	2.000000
87	43	1	2.000000
87	44	1	2.000000
87	45	1	1.000000
88	36	1	2.000000
88	37	1	1.000000
88	38	1	2.000000
88	43	1	2.000000
38	62	2	2.000000
38	63	2	2.000000
39	62	2	2.000000
40	61	2	2.000000
40	62	2	2.000000
41	33	2	1.000000
41	34	2	1.000000
41	37	2	1.000000
41	38	2	1.000000
41	61	2	2.000000
42	31	2	1.000000
42	32	2	2.000000
42	33	2	2.000000
42	34	2	1.000000
42	35	2	1.000000
42	36	2	2.000000
42	37	2	2.000000
42	38	2	2.000000
42	39	2	1.000000
42	44	2	1.000000
42	60	2	2.000000
42	61	2	2.000000
42	62	2	1.000000
42	63	2	1.000000
42	64	2	1.000000
42	65	2	1.000000
42	66	2	1.000000
43	31	2	2.000000
43	32	2	2.000000
43	33	2	2.000000
43	34	2	2.000000
43	35	2	2.000000
43	36	2	2.000000
43	37	2	2.000000
43	38	2	2.000000
43	39	2	2.000000
43	40	2	1.000000
43	41	2	1.000000
43	44	2	1.000000
43	60	2	2.000000
43	61	2	1.000000
43	62	2	1.000000
43	63	2	2.000000
43	64	2	1.000000
43	65	2	1.000000
43	66	2	1.000000
43	67	2	1.000000
44	28	2	1.000000
44	29	2	1.000000
44	30	2	2.000000
44	31	2	2.000000
44	32	2	2.000000
44	33	2	2.000000
44	34	2	2.000000
44	35	2	2.000000
44	36	2	2.000000
44	37	2	2.000000
44	38	2	2.000000
44	39	2	2.000000
44	40	2	1.000000
44	41	2	1.000000
44	44	2	1.000000
44	62	2	1.000000
44	63	2	2.000000
44	64	2	2.000000
44	65	2	1.000000
44	66	2	1.000000
44	67	2	2.000000
45	26	2	2.000000
45	27	2	1.000000
45	28	2	1.000000
45	29	2	1.000000
45	30	2	2.000000
45	31	2	1.000000
45	32	2	1.000000
45	33	2	2.000000
45	34	2	1.000000
45	35	2	2.000000
45	36	2	2.000000
45	37	2	2.000000
45	38	2	2.000000
45	39	2	2.000000
45	40	2	1.000000
45	41	2	1.000000
45	42	2	1.000000
45	44	2	1.000000
